,Unnamed: 0,counts,year,month,day,hour,minute
0,0,0.0113133300541072,2023,12,9,3,1
1,1,0.0118052139695031,2023,12,8,10,48
2,2,0.0103295622233152,2023,12,7,23,35
3,3,0.0103295622233152,2023,12,7,15,29
4,4,0.0152484013772749,2023,12,7,11,56
5,5,0.0103295622233152,2023,12,6,23,2
6,6,0.0108214461387112,2023,12,6,20,57
7,7,0.013280865715691,2023,12,5,16,59
8,8,0.0108214461387112,2023,12,5,15,11
9,9,0.0118052139695031,2023,12,5,14,3
10,10,0.0103295622233152,2023,12,5,7,58
11,11,0.0108214461387112,2023,12,5,3,55
12,12,0.0118052139695031,2023,12,4,20,28
13,13,0.028529267092966,2022,12,6,3,7
14,14,0.0211510083620265,2023,12,6,20,33
15,15,0.0177078209542547,2023,12,6,16,18
16,16,0.0113133300541072,2023,12,6,15,18
17,17,0.0167240531234628,2023,12,6,11,0
