,counts,year,month,day,hour,minute
0,0.01131333005410723,2023,12,9,3,1
1,0.011805213969503197,2023,12,8,10,48
2,0.010329562223315297,2023,12,7,23,35
3,0.010329562223315297,2023,12,7,15,29
4,0.015248401377274963,2023,12,7,11,56
5,0.010329562223315297,2023,12,6,23,2
6,0.010821446138711265,2023,12,6,20,57
7,0.013280865715691098,2023,12,5,16,59
8,0.010821446138711265,2023,12,5,15,11
9,0.011805213969503197,2023,12,5,14,3
10,0.010329562223315297,2023,12,5,7,58
11,0.010821446138711265,2023,12,5,3,55
12,0.011805213969503197,2023,12,4,20,28
13,0.02852926709296606,2022,12,6,3,7
14,0.02115100836202656,2023,12,6,20,33
15,0.017707820954254796,2023,12,6,16,18
16,0.01131333005410723,2023,12,6,15,18
17,0.016724053123462864,2023,12,6,11,0
18,0.04476143630103296,2023,12,6,3,35
19,0.02262666010821446,2023,12,6,1,18
20,0.0954254795868175,2023,12,6,1,13
21,0.01131333005410723,2023,12,6,0,22
22,1.0,2020,4,13,14,1
23,0.025086079685194294,2020,4,12,2,29
24,0.15494343334972946,2020,3,24,22,52
25,0.36989670437776684,2023,9,1,23,52
